AD_cohort,PD_cohort,cell_class,n_genes,rho,sign_agreement,perm_p
AD174,PD243,Astro,15423,0.18530066167957102,0.5779031316864424,9.999000099990002e-05
AD174,PD243,Micro,14975,0.054761237451223695,0.527212020033389,9.999000099990002e-05
AD174,PD243,OPC,14842,0.15165412797459368,0.5733054844360598,9.999000099990002e-05
AD174,PD243,Oligo,14241,0.2530899281631158,0.6069096271329261,9.999000099990002e-05
AD174,PD329,Astro,12766,-0.028955416722157203,0.4884850383832054,0.0015998400159984002
AD174,PD329,Micro,12849,0.0033416937780416014,0.4965366954626819,0.7096290370962903
AD174,PD329,OPC,12342,0.07589399854105901,0.5294927888510776,9.999000099990002e-05
AD174,PD329,Oligo,12158,0.045171550604864684,0.521385096232933,9.999000099990002e-05
AD222,PD243,Astro,9803,0.315615556964746,0.5899214526165459,9.999000099990002e-05
AD222,PD243,Micro,5131,0.12037195371820002,0.5527187682712922,9.999000099990002e-05
AD222,PD243,OPC,7475,0.21748352514728805,0.5689632107023411,9.999000099990002e-05
AD222,PD243,Oligo,11208,0.3908917679016623,0.6397216274089935,9.999000099990002e-05
AD222,PD329,Astro,8999,-0.08716009771586174,0.48105345038337594,9.999000099990002e-05
AD222,PD329,Micro,4931,0.04046927606697341,0.5179476779557899,0.0046995300469953
AD222,PD329,OPC,6969,-0.004365529840236528,0.5085378103027695,0.7228277172282772
AD222,PD329,Oligo,10045,-0.040129004480826944,0.48810353409656543,9.999000099990002e-05
