candidate_rank,gene_symbol,priority_group,best_evidence_class,n_class_A,n_class_B,n_class_C,n_class_D,n_brain_AD_PD_concordant_celltypes,AD_retina_log2FC,AD_retina_pvalue,AD_retina_FDR,PD_AH_log2RFU_diff,PD_AH_pvalue,PD_AH_FDR,Astro_AD_log2FC,Astro_PD_log2FC,Micro_AD_log2FC,Micro_PD_log2FC,OPC_AD_log2FC,OPC_PD_log2FC,Oligo_AD_log2FC,Oligo_PD_log2FC
1,SCAMP5,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,0,4,0,0,4,-1.1380471626729047,0.0065975497880142,0.6725461467577817,-2.624634295520808,2.183910872691621e-09,1.1242369651731542e-06,-0.1976749353957443,-0.3720870685876303,-0.7109830474359891,-0.8254946663559952,-0.1253986865911463,-0.1117261090910329,-0.1851350293528497,-0.110051624456914
2,XYLB,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,0,4,0,0,4,-3.255324031082637,0.0034703669387063,0.6487411739414223,-1.1478623657005078,0.0010205948104734,0.0095385450758541,-0.4633341231834575,-0.0592310933853733,-0.3536360204371381,-0.1457099153828829,-0.3410905011383064,-0.3309720151464671,-0.0633285728467491,-0.0742841758202891
3,RABEPK,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,0,3,0,0,3,-1.2325598686236994,0.0456206999844085,0.8768494707880053,-0.9525680568288524,0.0310113246994132,0.0761369494669373,-0.4283776606804926,-0.0814290076291316,-0.0177203536207303,-0.2447658190903012,-0.3198682667590114,0.063927167699471,-0.4499115544547876,-0.1818657352653987
4,ITGAM,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,0,2,0,0,3,-2.4715420997741937,0.0133512417727398,0.7540230101889117,-0.8368807742028277,0.0100342387074937,0.0381045913853603,-0.2841159140190341,0.2145578290419318,-0.3095994444362177,-0.3960314870936139,0.6042343076151252,0.0699286493000249,-0.4681005767826541,-0.3226509484684303
5,CD38,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,0,2,0,0,3,-1.5491156455786417,0.0284808950781023,0.8768494707880053,-0.8033075047016641,0.0085451021939308,0.0347060341409969,-0.6513773454931503,-0.494066069653569,-0.0177666996061784,-0.0125659958031008,,,0.2585957883698142,0.0769108680273468
6,CTCF,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,0,2,0,0,3,-2.42724489239486,0.0023045280232402,0.5232326125493176,-1.560824888904509,0.0002434238724258,0.0035430313503216,0.0724029669835014,0.0836236129507946,-0.0412743671848628,-0.0188559611442375,-0.1187358971055928,-0.0619377769276407,-0.0179762578196816,0.1406908273115212
7,UBTD2,P2_single_dual_ocular_nominal,B_dual_ocular_nominal,0,1,0,0,2,-1.7068046159486805,0.0076510155011846,0.6851469512664974,-2.662226890327123,0.0027772816010277,0.0180017193524473,0.0466748191853422,0.1161496431748253,0.2976871253796684,-0.1107166880958446,0.0416785334481368,-0.2801765270316426,-0.0576110967440972,-0.0217906287152283
8,NAPEPLD,P2_single_dual_ocular_nominal,B_dual_ocular_nominal,0,1,0,0,1,-1.0999156635924336,0.0364053712871161,0.8768494707880053,-1.756484612254622,1.3487320872777518e-05,0.000498417812253,-0.1649913349137606,0.09615426472192,-0.0846593591877818,0.1578531899516089,0.0461924757620546,-0.0127252458460341,-0.1554877032487816,-0.0497724646005074
9,GAPDH,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,0,4,0,4,-0.2788745318361805,0.4418375865756753,0.8768494707880053,-1.5366870859629709,0.1323822923997485,0.2132430302991703,-0.316759547813354,-0.9983426140456714,-0.7430475395767537,-0.6289264952194898,-0.4682462297433813,-0.3807196167775008,-0.541012843776272,-0.5567656156583418
10,STX1B,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,0,4,0,4,-0.206657159357924,0.6924124645695299,0.9012323673088282,-0.4318543641454805,0.0894376861450269,0.1594579799033047,-0.46299036375425,-0.932509145588598,-0.6547903363907951,-1.0418665831819718,-0.0807630599807019,-0.2442775648230932,-0.4479216436227001,-0.5310795808885819
11,NDUFB10,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,0,4,0,4,-0.2667869087948418,0.4267503241610707,0.8768494707880053,-0.839656354634316,0.039989729539709,0.0906338314657444,-0.4516368161368344,-0.6867311410222174,-1.1149560219134118,-0.480931696722947,-0.5376261418102699,-0.2966986893309236,-0.2937425819357093,-0.4000416344357865
12,NT5C,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,0,4,0,4,-0.4715263988883649,0.3840258276055676,0.8768494707880053,-1.839083657150974,0.1149818656817777,0.1912220331954989,-0.6628272230142059,-0.3608262798833404,-0.4918974480806311,-0.3573237699036235,-0.0552159238653595,-0.2715431875881671,-0.262716553733079,-0.4942773829682242
13,NPEPL1,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,0,4,0,4,-1.0033039199275535,0.0540948960194541,0.8768494707880053,-1.7974813520139057,9.049721870185415e-06,0.000367871194023,-1.0541798354900431,-0.5294774694646442,-1.0197383157364404,-0.446224715004452,-0.7181783637237091,-0.0800003345588578,-0.8963133667565943,-0.1594050113453524
14,BPHL,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,0,4,0,4,-0.6621484689684358,0.0833064246951815,0.8768494707880053,-1.860442653065456,0.0612235873437357,0.1214018939279443,-0.279085706957499,-0.195462943581198,-0.4612020352893439,-0.3281437086337661,-0.2838977081121737,-0.4179263997796796,-0.4309190924001442,-0.2441115216582219
