candidate_rank,gene_symbol,priority_group,best_evidence_class,n_class_B,n_class_C,n_class_D,n_brain_AD_PD_concordant_celltypes,AD_retina_log2FC,AD_retina_pvalue,AD_retina_FDR,PD_AH_log2RFU_diff,PD_AH_pvalue,PD_AH_FDR
1,SCAMP5,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,4,0,0,4,-1.1380471626729047,0.0065975497880142,0.6725461467577817,-2.624634295520808,2.183910872691621e-09,1.1242369651731542e-06
2,XYLB,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,4,0,0,4,-3.255324031082637,0.0034703669387063,0.6487411739414223,-1.1478623657005078,0.0010205948104734,0.0095385450758541
3,RABEPK,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,3,0,0,3,-1.2325598686236994,0.0456206999844085,0.8768494707880053,-0.9525680568288524,0.0310113246994132,0.0761369494669373
4,ITGAM,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,2,0,0,3,-2.4715420997741937,0.0133512417727398,0.7540230101889117,-0.8368807742028277,0.0100342387074937,0.0381045913853603
5,CD38,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,2,0,0,3,-1.5491156455786417,0.0284808950781023,0.8768494707880053,-0.8033075047016641,0.0085451021939308,0.0347060341409969
6,CTCF,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,2,0,0,3,-2.42724489239486,0.0023045280232402,0.5232326125493176,-1.560824888904509,0.0002434238724258,0.0035430313503216
7,UBTD2,P2_single_dual_ocular_nominal,B_dual_ocular_nominal,1,0,0,2,-1.7068046159486805,0.0076510155011846,0.6851469512664974,-2.662226890327123,0.0027772816010277,0.0180017193524473
8,NAPEPLD,P2_single_dual_ocular_nominal,B_dual_ocular_nominal,1,0,0,1,-1.0999156635924336,0.0364053712871161,0.8768494707880053,-1.756484612254622,1.3487320872777518e-05,0.000498417812253
9,GAPDH,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,4,0,4,-0.2788745318361805,0.4418375865756753,0.8768494707880053,-1.5366870859629709,0.1323822923997485,0.2132430302991703
10,STX1B,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,4,0,4,-0.206657159357924,0.6924124645695299,0.9012323673088282,-0.4318543641454805,0.0894376861450269,0.1594579799033047
11,NDUFB10,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,4,0,4,-0.2667869087948418,0.4267503241610707,0.8768494707880053,-0.839656354634316,0.039989729539709,0.0906338314657444
12,NT5C,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,4,0,4,-0.4715263988883649,0.3840258276055676,0.8768494707880053,-1.839083657150974,0.1149818656817777,0.1912220331954989
13,NPEPL1,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,4,0,4,-1.0033039199275535,0.0540948960194541,0.8768494707880053,-1.7974813520139057,9.049721870185415e-06,0.000367871194023
14,BPHL,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,4,0,4,-0.6621484689684358,0.0833064246951815,0.8768494707880053,-1.860442653065456,0.0612235873437357,0.1214018939279443
15,PURB,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,4,0,4,0.4091716187251251,0.3577215548500957,0.8768494707880053,0.0903977707748078,0.8574287364404615,0.8886590673980452
16,OXLD1,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,4,0,4,-0.6318688341759753,0.3478193977333412,0.8768494707880053,-0.4045786436890073,0.1501546097430161,0.2353582332045231
17,PSMC3,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,4,0,4,-0.1759724237190134,0.6839007015909842,0.8998895469979937,-1.4230348588267532,0.3063121946830036,0.4020805716101587
18,LINGO1,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,4,0,4,0.5366437601443614,0.3244312070342073,0.8768494707880053,0.4861101204806051,0.0410930039803998,0.0923254187336974
19,SRP14,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,4,0,4,-0.5888149841395034,0.2006916130160705,0.8768494707880053,-1.2961963782947772,0.0640837909204591,0.1253977836077461
20,PTGES2,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,0,4,0,4,-0.4913777325567174,0.3408145372494602,0.8768494707880053,-0.0717692786867026,0.3305649312781842,0.4067658214744228
