gene_symbol,candidate_rank,priority_group,pathway,pathway_rank,pathway_priority,n_convergent_FDR_celltypes,n_same_direction_celltypes,shared_AD_PD_leading_edge
GYG1,10493,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,True
G6PC3,1481,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,True
UBC,6724,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,False
UBA52,3152,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,True
GYS1,5030,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,False
EPM2A,5781,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,False
RPS27A,3241,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,False
GBE1,9605,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,False
GAA,37,P3_recurrent_dual_ocular_directional,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,True
SLC37A4,3678,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,True
UBB,10676,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,False
PPP1R3C,12470,P6_brain_plus_retina_expression,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,1,4,True
RPL23,3155,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL4,4062,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
AASS,3653,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
CKMT2,10411,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPS27,6585,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSMB5,265,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL23A,10314,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPS23,12051,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
DAO,1089,P5_single_ocular_FDR,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
EEFSEC,2553,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
ACAD8,332,P4_single_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
AZIN1,12410,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
ODC1,5917,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPL37,14527,P7_other,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
BCAT1,6536,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
AADAT,2083,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPS13,6150,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
NAT8L,3998,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
HSD17B10,28,P3_recurrent_dual_ocular_directional,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
GPT2,12768,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
RPL19,5998,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPS4Y1,1650,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
RPS7,11014,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
PSMC5,3195,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
TXN2,4003,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
AMD1,4218,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,False
CDO1,3827,P6_brain_plus_retina_expression,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,1,4,True
