cell_type,core_evidence_class,n_genes
Astro,B_dual_ocular_nominal,4
Astro,C_dual_ocular_directional,247
Astro,D_single_ocular_FDR,277
Astro,E_brain_plus_retina_expression,7059
Astro,F_other_brain_convergence,7836
Micro,B_dual_ocular_nominal,6
Micro,C_dual_ocular_directional,229
Micro,D_single_ocular_FDR,262
Micro,E_brain_plus_retina_expression,6368
Micro,F_other_brain_convergence,8110
OPC,B_dual_ocular_nominal,3
OPC,C_dual_ocular_directional,226
OPC,D_single_ocular_FDR,249
OPC,E_brain_plus_retina_expression,6916
OPC,F_other_brain_convergence,7448
Oligo,B_dual_ocular_nominal,6
Oligo,C_dual_ocular_directional,235
Oligo,D_single_ocular_FDR,248
Oligo,E_brain_plus_retina_expression,7006
Oligo,F_other_brain_convergence,6746
