cell_type,gene_symbol,gene_id_AD,log2FoldChange_AD,lfcSE_AD,stat_AD,pvalue_AD,padj_AD,log2FoldChange_PD,lfcSE_PD,stat_PD,pvalue_PD,padj_PD,brain_AD_PD_same_direction,conjunction_p,conjunction_FDR,retinal_donors_detected,retinal_positive_cells,retinal_total_counts,retina_expression,protein_rows,AD_donors_measured,Control_donors_measured,AD_retina_protein_measured,AD_retina_log2FC,AD_retina_t,AD_retina_pvalue,AD_retina_FDR,Lysis_AD_vs_Control_log2FC,RIPA_AD_vs_Control_log2FC,AD_retina_buffer_direction_consistent,AD_retina_nominal_P05,AD_retina_FDR05,UniProt,PD_AH_mean_Control,PD_AH_mean_PD,PD_AH_log2RFU_diff,PD_AH_Welch_t,PD_AH_pvalue,PD_AH_FDR,PD_AH_nominal_P05,PD_AH_FDR05,PD_AH_FDR05_abs_effect_gt1,PD_AH_FDR05_abs_effect_gt2,PD_aqueous_protein_measured,AD_retina_same_direction_as_AD_brain,PD_aqueous_same_direction_as_PD_brain,AD_retina_nominal_support,AD_retina_FDR_support,AD_retina_buffer_robust_support,PD_aqueous_nominal_support,PD_aqueous_FDR_support,PD_aqueous_strong_support,both_ocular_proteins_measured,both_ocular_same_disease_direction,dual_ocular_nominal_support,dual_ocular_FDR_support,multimodal_directional_support,multimodal_nominal_support,multimodal_FDR_support,matched_pathways,concordant_pathways,convergent_FDR05_pathways,core_evidence_class
Astro,CD38,ENSG00000004468.12,-0.6513773454931503,0.384822870161721,-1.6926679675233705,0.0905186857719431,0.8932520309995003,-0.494066069653569,0.2619021125417263,-1.8864531670200035,0.0592339137627839,0.5509306056750498,True,0.0452593428859715,0.8649993362827079,7,40.0,42.0,True,1.0,8.0,8.0,True,-1.5491156455786417,-2.67289689763033,0.0284808950781023,0.8768494707880053,-1.6620079845026652,-1.4335999182894668,True,True,False,P28907,0.8997726695971915,0.0964651648955274,-0.8033075047016641,-2.8946272763684204,0.0085451021939308,0.0347060341409969,True,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,False,1510,831,26,B_dual_ocular_nominal
Astro,SCAMP5,ENSG00000198794.11,-0.1976749353957443,0.2111595164470845,-0.936140310992238,0.3492009504291699,0.972268839001337,-0.3720870685876303,0.1449751612433801,-2.5665573702172413,0.01027136325644,0.3200735654969646,True,0.1746004752145848,0.8649993362827079,7,24746.0,48538.0,True,1.0,8.0,8.0,True,-1.1380471626729047,-3.2766773001885894,0.0065975497880142,0.6725461467577817,-2.295019556661145,0.0189252313153396,False,True,False,Q8TAC9,2.765496083123729,0.1408617876029214,-2.624634295520808,-10.16827995188718,2.183910872691621e-09,1.1242369651731542e-06,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,False,1510,831,26,B_dual_ocular_nominal
Astro,RABEPK,ENSG00000136933.16,-0.4283776606804926,0.2560675503976727,-1.6729088086921688,0.0943452494473373,0.904589327327952,-0.0814290076291316,0.0831376982175725,-0.9794474633641016,0.3273589350692114,0.8410694845238887,True,0.1636794675346057,0.8649993362827079,7,11543.0,15427.0,True,1.0,7.0,8.0,True,-1.2325598686236994,-2.2118200032965314,0.0456206999844085,0.8768494707880053,-0.6363626124301618,-2.332045225572696,True,True,False,Q7Z6M1,1.359439018524326,0.4068709616954736,-0.9525680568288524,-2.432546380127838,0.0310113246994132,0.0761369494669373,True,False,False,False,True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,False,1510,831,26,B_dual_ocular_nominal
Astro,XYLB,ENSG00000093217.10,-0.4633341231834575,0.3463964162075311,-1.337583478074633,0.1810322532455273,0.9413556324545382,-0.0592310933853733,0.1461927387622851,-0.4051575604017196,0.6853616983734176,0.9515010103750804,True,0.3426808491867088,0.8649993362827079,7,920.0,949.0,True,1.0,8.0,8.0,True,-3.255324031082637,-3.554929817244855,0.0034703669387063,0.6487411739414223,-2.7289678627662965,-2.487082295195925,True,True,False,O75191,1.1478623657005078,0.0,-1.1478623657005078,-3.9124973171055504,0.0010205948104734,0.0095385450758541,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,1510,831,26,B_dual_ocular_nominal
Micro,SCAMP5,ENSG00000198794.11,-0.7109830474359891,0.6648345078021424,-1.0694135744945128,0.2848833533014404,0.9278103461719756,-0.8254946663559952,0.3637394764354188,-2.269466802024608,0.0232399538389525,0.344293344829306,True,0.1424416766507202,0.9483258381782312,7,24746.0,48538.0,True,1.0,8.0,8.0,True,-1.1380471626729047,-3.2766773001885894,0.0065975497880142,0.6725461467577817,-2.295019556661145,0.0189252313153396,False,True,False,Q8TAC9,2.765496083123729,0.1408617876029214,-2.624634295520808,-10.16827995188718,2.183910872691621e-09,1.1242369651731542e-06,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,False,1507,815,0,B_dual_ocular_nominal
Micro,ITGAM,ENSG00000169896.17,-0.3095994444362177,0.1326476334620882,-2.333999004397645,0.0195957740521021,0.6440427876437086,-0.3960314870936139,0.1340597372695396,-2.954141900915078,0.003135398000479,0.1290873387607382,True,0.009797887026051,0.9483258381782312,6,90.0,104.0,True,1.0,4.0,8.0,True,-2.4715420997741937,-3.280872255656339,0.0133512417727398,0.7540230101889117,-0.8275614465969703,-2.5353083746873324,True,True,False,P11215,1.0017154023372246,0.1648346281343968,-0.8368807742028277,-2.8488921696056795,0.0100342387074937,0.0381045913853603,True,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,False,1507,815,0,B_dual_ocular_nominal
Micro,XYLB,ENSG00000093217.10,-0.3536360204371381,0.3143697332883329,-1.1249047951852,0.2606293797877729,0.9233463420958836,-0.1457099153828829,0.1961345649502811,-0.742907887856582,0.4575374498211341,0.8585372496420386,True,0.228768724910567,0.9483258381782312,7,920.0,949.0,True,1.0,8.0,8.0,True,-3.255324031082637,-3.554929817244855,0.0034703669387063,0.6487411739414223,-2.7289678627662965,-2.487082295195925,True,True,False,O75191,1.1478623657005078,0.0,-1.1478623657005078,-3.9124973171055504,0.0010205948104734,0.0095385450758541,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,False,1507,815,0,B_dual_ocular_nominal
Micro,CTCF,ENSG00000102974.15,-0.0412743671848628,0.1921885490760156,-0.2147597626565034,0.8299546256246638,0.992943210862092,-0.0188559611442375,0.0786553140043888,-0.2397290174594613,0.8105403381034165,0.9662572527503536,True,0.4149773128123319,0.9483258381782312,7,12332.0,15250.0,True,1.0,6.0,8.0,True,-2.42724489239486,-3.8621027879092393,0.0023045280232402,0.5232326125493176,-3.7215502591058858,1.194988407224713,False,True,False,P49711,1.560824888904509,0.0,-1.560824888904509,-4.558636001703392,0.0002434238724258,0.0035430313503216,True,True,True,False,True,True,True,True,False,False,True,True,True,True,True,True,False,True,True,False,1507,815,0,B_dual_ocular_nominal
Micro,RABEPK,ENSG00000136933.16,-0.0177203536207303,0.3412467122432455,-0.0519282764784529,0.9585858432937058,0.9981117534417304,-0.2447658190903012,0.1613892131980849,-1.5166182066324474,0.1293631059235647,0.6194542371971318,True,0.4792929216468529,0.9483258381782312,7,11543.0,15427.0,True,1.0,7.0,8.0,True,-1.2325598686236994,-2.2118200032965314,0.0456206999844085,0.8768494707880053,-0.6363626124301618,-2.332045225572696,True,True,False,Q7Z6M1,1.359439018524326,0.4068709616954736,-0.9525680568288524,-2.432546380127838,0.0310113246994132,0.0761369494669373,True,False,False,False,True,True,True,True,False,True,True,False,False,True,True,True,False,True,True,False,1507,815,0,B_dual_ocular_nominal
Micro,CD38,ENSG00000004468.12,-0.0177666996061784,0.8374636928896138,-0.0212148893821003,0.9830742369464206,0.9982881009639116,-0.0125659958031008,0.8905395146999494,-0.0141105426493451,0.9887417894756404,0.9987432506134648,True,0.4943708947378203,0.9483258381782312,7,40.0,42.0,True,1.0,8.0,8.0,True,-1.5491156455786417,-2.67289689763033,0.0284808950781023,0.8768494707880053,-1.6620079845026652,-1.4335999182894668,True,True,False,P28907,0.8997726695971915,0.0964651648955274,-0.8033075047016641,-2.8946272763684204,0.0085451021939308,0.0347060341409969,True,True,False,False,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,False,1507,815,0,B_dual_ocular_nominal
