figure_order,pathway,cell_type,disease,NES,FDR,FDR05
1,Glycogen storage diseases,Astro,AD,-1.8596830182522075,0.0365821795096945,True
1,Glycogen storage diseases,Astro,PD,-1.8428353995410056,0.0088222671033835,True
1,Glycogen storage diseases,Micro,AD,-1.2132045654598196,0.8510245313182031,False
1,Glycogen storage diseases,Micro,PD,-1.2211364853379223,0.3146351543755899,False
1,Glycogen storage diseases,OPC,AD,-1.4046727035991835,0.3130145256385206,False
1,Glycogen storage diseases,OPC,PD,-1.5790105684228526,0.2020989486148836,False
1,Glycogen storage diseases,Oligo,AD,-1.6439404955000485,0.7858447467786529,False
1,Glycogen storage diseases,Oligo,PD,-1.4402588402838612,0.2031563956497347,False
2,Metabolism of amino acids and derivatives,Astro,AD,-2.0115476727304844,0.0111080748638427,True
2,Metabolism of amino acids and derivatives,Astro,PD,-1.921671726954135,0.0039737146709781,True
2,Metabolism of amino acids and derivatives,Micro,AD,-1.9351620145953368,0.0274776748811907,True
2,Metabolism of amino acids and derivatives,Micro,PD,-0.9765828292668202,0.6652433123135949,False
2,Metabolism of amino acids and derivatives,OPC,AD,-1.9665190911514416,0.0650648171271082,False
2,Metabolism of amino acids and derivatives,OPC,PD,-0.7767838501440719,0.9470549616046724,False
2,Metabolism of amino acids and derivatives,Oligo,AD,-1.333703543883649,0.7173279742477787,False
2,Metabolism of amino acids and derivatives,Oligo,PD,-1.1772726406869496,0.4683453166821414,False
3,Cholesterol biosynthesis,Astro,AD,-0.9277108508315488,0.8469638042195023,False
3,Cholesterol biosynthesis,Astro,PD,-2.24097418603993,8.11673548081995e-05,True
3,Cholesterol biosynthesis,Micro,AD,-1.494223801010298,0.4714159602773464,False
3,Cholesterol biosynthesis,Micro,PD,-1.5703696050046894,0.0747442741853265,False
3,Cholesterol biosynthesis,OPC,AD,-2.582347452656486,0.0,True
3,Cholesterol biosynthesis,OPC,PD,-2.065467224822971,0.0112585982886833,True
3,Cholesterol biosynthesis,Oligo,AD,-1.369050794691627,0.7334550969934093,False
3,Cholesterol biosynthesis,Oligo,PD,0.5879983407682662,0.9969599944654828,False
4,SARS-CoV-1 modulates host translation machinery,Astro,AD,-1.86613692486794,0.0356203071052835,True
4,SARS-CoV-1 modulates host translation machinery,Astro,PD,-1.6212037798207064,0.0475384242061508,True
4,SARS-CoV-1 modulates host translation machinery,Micro,AD,-1.934880377591112,0.0265067323058836,True
4,SARS-CoV-1 modulates host translation machinery,Micro,PD,2.0340267434260726,0.0039112846889708,True
4,SARS-CoV-1 modulates host translation machinery,OPC,AD,-1.2115556886023258,0.453610085335298,False
4,SARS-CoV-1 modulates host translation machinery,OPC,PD,1.6838000168352725,0.1739053099174861,False
4,SARS-CoV-1 modulates host translation machinery,Oligo,AD,-0.953628591190654,1.0,False
4,SARS-CoV-1 modulates host translation machinery,Oligo,PD,-0.9468623952078956,0.7639900212368228,False
5,Attenuation phase,Astro,AD,2.230190415594936,0.0057368958331575,True
5,Attenuation phase,Astro,PD,-1.1470438610179112,0.407551465063645,False
5,Attenuation phase,Micro,AD,2.325462983431777,0.0029552599644853,True
5,Attenuation phase,Micro,PD,0.910325491001952,0.7932435910207581,False
5,Attenuation phase,OPC,AD,2.085909259940045,0.0098149823476195,True
5,Attenuation phase,OPC,PD,-1.075709143803317,0.7152115316654897,False
5,Attenuation phase,Oligo,AD,2.2801984256825505,0.004310850107204,True
5,Attenuation phase,Oligo,PD,1.9325658800209915,0.0319814001126217,True
6,Major pathway of rRNA processing in the nucleolus and cytosol,Astro,AD,-1.8906476429657235,0.0303713797371269,True
6,Major pathway of rRNA processing in the nucleolus and cytosol,Astro,PD,-1.891443623997533,0.0054043930409792,True
6,Major pathway of rRNA processing in the nucleolus and cytosol,Micro,AD,-1.5117066669513686,0.4479929042466929,False
6,Major pathway of rRNA processing in the nucleolus and cytosol,Micro,PD,0.9207953866315012,0.7837067681809242,False
6,Major pathway of rRNA processing in the nucleolus and cytosol,OPC,AD,-1.843422979823207,0.0818853338932231,False
6,Major pathway of rRNA processing in the nucleolus and cytosol,OPC,PD,0.8994526500759717,0.8918097135148462,False
6,Major pathway of rRNA processing in the nucleolus and cytosol,Oligo,AD,0.6818054009564597,0.9909526269715524,False
6,Major pathway of rRNA processing in the nucleolus and cytosol,Oligo,PD,-0.6218488209953399,0.9943185398655716,False
7,Heme signaling,Astro,AD,1.9090485634685648,0.0426442590264712,True
7,Heme signaling,Astro,PD,1.6129674933600866,0.2871897527667783,False
7,Heme signaling,Micro,AD,1.3802106942614696,0.593060054154988,False
7,Heme signaling,Micro,PD,1.6751478883068418,0.0693158174609122,False
7,Heme signaling,OPC,AD,1.942614100965625,0.055981751167904,False
7,Heme signaling,OPC,PD,1.722842552495333,0.1773718690050892,False
7,Heme signaling,Oligo,AD,1.7115365248700254,0.3232503631857849,False
7,Heme signaling,Oligo,PD,2.35430168913563,0.0,True
