figure_order,pathway,pathway_rank,priority_group,n_pathways_represented,n_convergent_FDR_celltypes,n_same_direction_celltypes,shared_candidate_genes,Astro_AD_NES,Astro_PD_NES,Astro_AD_FDR,Astro_PD_FDR,Micro_AD_NES,Micro_PD_NES,Micro_AD_FDR,Micro_PD_FDR,OPC_AD_NES,OPC_PD_NES,OPC_AD_FDR,OPC_PD_FDR,Oligo_AD_NES,Oligo_PD_NES,Oligo_AD_FDR,Oligo_PD_FDR
1,Glycogen storage diseases,1,R2_single_celltype_AD_PD_FDR,4,1,4,GAA;G6PC3;UBA52;SLC37A4;GYG1;PPP1R3C,-1.8596830182522075,-1.8428353995410056,0.0365821795096945,0.0088222671033835,-1.2132045654598196,-1.2211364853379223,0.8510245313182031,0.3146351543755899,-1.4046727035991835,-1.5790105684228526,0.3130145256385206,0.2020989486148836,-1.6439404955000485,-1.4402588402838612,0.7858447467786529,0.2031563956497347
2,Metabolism of amino acids and derivatives,2,R2_single_celltype_AD_PD_FDR,16,1,4,PSMC3;HSD17B10;CKB;GSTZ1;ECHS1;PSMD7;PSMB2;PSMA4;RPS3;RPS3A;RPS14;OAT;GSR;GLUD1;GCDH;AZIN2;PSMD2;RPL15;RPS6;PSMD8;PIPOX;GOT1;SAT1;RPS4Y1;DDO;NMRAL1;SECISBP2;PSMB3;PSMB7;CSAD;AADAT;PSMC4;SLC25A12;SERINC5;SIRT5;EEFSEC;SDSL;RPL27;RIMKLA;ASL;UBA52;RPS15A;RPL23;PSMC1;PSMC5;BCKDK;RPS27A;RPS9;SERINC3;PSMD13;PSMB4;AASS;RPLP0;CDO1;AIMP2;RPL4;SUOX;MCCC2;MTR;RPL6;PSMD14;AIMP1;ASRGL1;RPS5;GAMT;ALDH9A1;MCCC1;SLC25A44;ODC1;SLC25A10;RPL19;CBS;RPL10;RPS13;CARNS1;FAU;RPL29;DUOX1;RPS11;RPS4X;SLC25A15;BCAT1;DMGDH;RPL8;RPL18;FAH;GOT2;APIP;RPS16;PSMD12;RPSA;RPL14;PSMA5;PHYKPL;ADI1;RIMKLB;RPL10A;GLUL;PSMC6;SDS;HYKK;FOLH1;GLUD2;RPL7A;RPL36;RPS15;RPL3;RPL13;HAAO;RPL35;ALDH18A1;SLC25A13;PSMD11;PYCR3,-2.0115476727304844,-1.921671726954135,0.0111080748638427,0.0039737146709781,-1.9351620145953368,-0.9765828292668202,0.0274776748811907,0.6652433123135949,-1.9665190911514416,-0.7767838501440719,0.0650648171271082,0.9470549616046724,-1.333703543883649,-1.1772726406869496,0.7173279742477787,0.4683453166821414
3,Cholesterol biosynthesis,3,R2_single_celltype_AD_PD_FDR,2,1,3,MVK;EBP;TM7SF2;MVD;SREBF2;NSDHL;SC5D;ACAT2;DHCR24;HMGCS1;FDPS;FDFT1;PMVK;PLPP6;MSMO1;SREBF1,-0.9277108508315488,-2.24097418603993,0.8469638042195023,8.11673548081995e-05,-1.494223801010298,-1.5703696050046894,0.4714159602773464,0.0747442741853265,-2.582347452656486,-2.065467224822971,0.0,0.0112585982886833,-1.369050794691627,0.5879983407682662,0.7334550969934093,0.9969599944654828
4,SARS-CoV-1 modulates host translation machinery,19,R2_single_celltype_AD_PD_FDR,9,1,2,RPS3;RPS3A;RPS14;RPS6;RPS4Y1;RPS12;RPS15A;RPS27A;RPS9;RPS25;EEF1A1;RPS5;RPS13;FAU;RPS11;RPS4X;RPS27;RPS16;RPSA;RPS24;RPS28;RPS15;RPS18;RPS23;RPS8,-1.86613692486794,-1.6212037798207064,0.0356203071052835,0.0475384242061508,-1.934880377591112,2.0340267434260726,0.0265067323058836,0.0039112846889708,-1.2115556886023258,1.6838000168352725,0.453610085335298,0.1739053099174861,-0.953628591190654,-0.9468623952078956,1.0,0.7639900212368228
5,Attenuation phase,25,R2_single_celltype_AD_PD_FDR,1,1,2,HSP90AA1;DEDD2;HSPH1;PTGES3;DNAJB1;HSPB1;FKBP4;DNAJB6;MRPL18;HSPA1L;EP300;COL4A6;UBB;HSPA8;HSP90AB1,2.230190415594936,-1.1470438610179112,0.0057368958331575,0.407551465063645,2.325462983431777,0.910325491001952,0.0029552599644853,0.7932435910207581,2.085909259940045,-1.075709143803317,0.0098149823476195,0.7152115316654897,2.2801984256825505,1.9325658800209915,0.004310850107204,0.0319814001126217
6,Major pathway of rRNA processing in the nucleolus and cytosol,28,R2_single_celltype_AD_PD_FDR,4,1,1,RPL5;RPS3;RPS3A;RPS14;UTP6;RPL15;NOC4L;RPS6;RPS4Y1;LAS1L;RPL27;RPS12;UBA52;RPS15A;RPS27A;RPS9;RPL35A;RPL41;RPS25;RRP9;IMP4;EXOSC8;RPL4;RPL6;CSNK1D;NOL9;RPL19;RPL10;RPS13;FAU;RPL29;RPS11;RPS4X;RPL37A;CSNK1E;RPL8;RPL36AL;EXOSC6;RPL18;RPL31;RPS29;RPS16;RPSA;RPL14;PES1;RPS24;RPL10A;RPS28;DHX37;RPL23A;RPL7A;RPL36;RPS15;RPL38;RPL3;RPL13;BYSL;RPLP1;RPL35;GNL3;BOP1;RPL28;EXOSC5;RPL32;WDR12;UTP14C;RPL30;RPS18;RPS23;RPL21;XRN2;MPHOSPH10;RBM28;FCF1;RPS8;RPL34;RPLP2;RPL9;RPL37;UTP11;RPP25,-1.8906476429657235,-1.891443623997533,0.0303713797371269,0.0054043930409792,-1.5117066669513686,0.9207953866315012,0.4479929042466929,0.7837067681809242,-1.843422979823207,0.8994526500759717,0.0818853338932231,0.8918097135148462,0.6818054009564597,-0.6218488209953399,0.9909526269715524,0.9943185398655716
7,Heme signaling,30,R3_recurrent_directional,6,0,4,NFE2L2;NR1D1;ATF2;PGRMC2;RXRA;CREB1;CLOCK;NCOA1;NPAS2;SLC46A1;SIRT1;EP300;NRIP1;SMARCD3;NCOA2;HDAC3;CRTC3;XPO1;TBL1XR1;TBL1X;CHD9;LY96;PPARA;MAFK;TGS1;RORA;RAI1;CREBBP;NCOR1,1.9090485634685648,1.6129674933600866,0.0426442590264712,0.2871897527667783,1.3802106942614696,1.6751478883068418,0.593060054154988,0.0693158174609122,1.942614100965625,1.722842552495333,0.055981751167904,0.1773718690050892,1.7115365248700254,2.35430168913563,0.3232503631857849,0.0
8,Interferon alpha/beta signaling,32,R3_recurrent_directional,1,0,4,KPNB1;PTPN11;HLA-E;OAS1;HLA-C;IFI6;STAT1;IRF7;EIF2AK2;RSAD2;MX1;IFIT1;UBA52;HLA-B;STAT2;IRF3;PTPN1;IFIT3;USP18;EGR1;MX2;OAS3;SAMHD1,-1.3607659204688056,-2.296013166375317,0.4616206833081656,7.854905304019306e-05,-1.7439856990261462,-2.043455789861992,0.1391037062889962,0.0032634945499641,-1.9569473779395032,-1.9501398274739108,0.0500588773212166,0.0194364856028513,-0.8311065380223506,-0.705731025916391,1.0,0.9887899092409312
9,Cohesin Loading onto Chromatin,34,R3_recurrent_directional,2,0,4,PDS5B;PDS5A;NIPBL;RAD21;STAG1;STAG2;SMC3;SMC1A;WAPL,1.4441839211717955,1.48117144519972,0.2389332249187152,0.4340436939246029,0.8583255972208244,1.45098868048847,1.0,0.1976236995043672,1.3853853110837828,1.5863079429945646,0.5934674761841429,0.2098604898844682,1.4528025316764055,1.774005798957251,0.6008488615839536,0.0766366073121275
10,Gluconeogenesis,38,R3_recurrent_directional,2,0,4,GAPDH;PGAM1;G6PC3;SLC37A4;TPI1;ENO2;GPI,-1.507566673411284,-1.3621235156388023,0.3033807619796348,0.1847184293103219,-1.10606533821085,-1.7099981336878427,0.8672170834065912,0.0337672266116329,-1.644939474989911,-1.7578686409159152,0.1353709667450112,0.0886183463099818,-1.3249575126036277,-1.8562180037479976,0.7083374070102693,0.0364067525839516
