pathway_rank,pathway,priority_group,n_cell_types_present,cell_types,n_same_direction_celltypes,n_both_FDR05_celltypes,n_convergent_FDR_celltypes,best_cell_type,best_NES_AD,best_NES_PD,best_FDR_AD,best_FDR_PD,best_joint_FDR,median_NES_AD,median_NES_PD,median_conservative_abs_NES,max_conservative_abs_NES,shared_leading_edge_n,shared_leading_edge_genes,union_leading_edge_n,union_leading_edge_genes,candidate_genes_n,candidate_genes,shared_candidate_genes_n,shared_candidate_genes,best_candidate_rank,n_pathways_represented
1,Glycogen storage diseases,R2_single_celltype_AD_PD_FDR,4,Astro;Micro;OPC;Oligo,4,1,1,Astro,-1.8596830182522075,-1.8428353995410056,0.0365821795096945,0.0088222671033835,0.0365821795096945,-1.524306599549616,-1.509634704353357,1.4224657719415224,1.8428353995410056,6,G6PC3;GAA;GYG1;PPP1R3C;SLC37A4;UBA52,12,EPM2A;G6PC3;GAA;GBE1;GYG1;GYS1;PPP1R3C;RPS27A;SLC37A4;UBA52;UBB;UBC,12,GAA;G6PC3;UBA52;RPS27A;SLC37A4;GYS1;EPM2A;UBC;GBE1;GYG1;UBB;PPP1R3C,6,GAA;G6PC3;UBA52;SLC37A4;GYG1;PPP1R3C,37,4
2,Metabolism of amino acids and derivatives,R2_single_celltype_AD_PD_FDR,4,Astro;Micro;OPC;Oligo,4,1,1,Astro,-2.0115476727304844,-1.921671726954135,0.0111080748638427,0.0039737146709781,0.0111080748638427,-1.9508405528733888,-1.0769277349768849,1.0769277349768849,1.921671726954135,114,AADAT;AASS;ADI1;AIMP1;AIMP2;ALDH18A1;ALDH9A1;APIP;ASL;ASRGL1;AZIN2;BCAT1;BCKDK;CARNS1;CBS;CDO1;CKB;CSAD;DDO;DMGDH;DUOX1;ECHS1;EEFSEC;FAH;FAU;FOLH1;GAMT;GCDH;GLUD1;GLUD2;GLUL;GOT1;GOT2;GSR;GSTZ1;HAAO;HSD17B10;HYKK;MCCC1;MCCC2;MTR;NMRAL1;OAT;ODC1;PHYKPL;PIPOX;PSMA4;PSMA5;PSMB2;PSMB3;PSMB4;PSMB7;PSMC1;PSMC3;PSMC4;PSMC5;PSMC6;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD7;PSMD8;PYCR3;RIMKLA;RIMKLB;RPL10;RPL10A;RPL13;RPL14;RPL15;RPL18;RPL19;RPL23;RPL27;RPL29;RPL3;RPL35;RPL36;RPL4;RPL6;RPL7A;RPL8;RPLP0;RPS11;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS27A;RPS3;RPS3A;RPS4X;RPS4Y1;RPS5;RPS6;RPS9;RPSA;SAT1;SDS;SDSL;SECISBP2;SERINC3;SERINC5;SIRT5;SLC25A10;SLC25A12;SLC25A13;SLC25A15;SLC25A44;SUOX;UBA52,255,AADAT;AANAT;AASS;ACAD8;ACADSB;ACAT1;ADI1;ADO;ADRM1;AFMID;AGMAT;AHCY;AIMP1;AIMP2;ALDH18A1;ALDH7A1;ALDH9A1;AMD1;AMDHD1;APIP;ARG2;ASL;ASPA;ASRGL1;AZIN1;AZIN2;BCAT1;BCAT2;BCKDHB;BCKDK;BHMT2;CARNMT1;CARNS1;CBS;CDO1;CHDH;CKB;CKMT1A;CKMT2;CPS1;CRAT;CRYM;CSAD;CTH;DAO;DBT;DCT;DDO;DHTKD1;DIO1;DIO2;DLD;DLST;DMGDH;DUOX1;DUOXA1;ECHS1;EEFSEC;ENOPH1;ETHE1;FAH;FAU;FOLH1;GAMT;GATM;GCDH;GLDC;GLS;GLUD1;GLUD2;GLUL;GOT1;GOT2;GPT;GPT2;GRHPR;GSR;GSTZ1;HAAO;HIBADH;HNMT;HPD;HSD17B10;HYKK;IL4I1;IVD;KMO;KYAT1;KYAT3;MCCC1;MCCC2;MPST;MRI1;MTR;MTRR;NAT8L;NMRAL1;NNMT;OAT;OAZ2;ODC1;OGDH;PAH;PAOX;PAPSS1;PAPSS2;PCBD1;PHGDH;PHYKPL;PIPOX;PNMT;PPM1K;PRODH;PSMA1;PSMA3;PSMA4;PSMA5;PSMA7;PSMB1;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD6;PSMD7;PSMD8;PSTK;PYCR1;PYCR3;QDPR;RIDA;RIMKLA;RIMKLB;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL23;RPL23A;RPL24;RPL26L1;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL39L;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS18;RPS2;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS28;RPS3;RPS3A;RPS4X;RPS4Y1;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA;SAT1;SDS;SDSL;SECISBP2;SEPHS2;SEPSECS;SERINC1;SERINC2;SERINC3;SERINC5;SIRT5;SLC22A4;SLC25A10;SLC25A12;SLC25A13;SLC25A15;SLC25A21;SLC25A44;SLC44A1;SLC44A2;SLC45A2;SLC6A11;SLC7A5;SMOX;SMS;SQOR;SRM;SRR;SUOX;TP53;TST;TXN2;TXNRD1;UBA52,255,PSMC3;HSD17B10;CKB;ADRM1;GRHPR;IVD;GSTZ1;ECHS1;PSMD7;PSMB2;PSMB6;PSMA4;PSMA1;DLST;RPL5;RPS3;GATM;PSMB5;ACAD8;HIBADH;ACAT1;CTH;RPS3A;RPS14;OAT;CRAT;PAPSS1;GSR;GLUD1;HPD;GCDH;DAO;SEPSECS;AZIN2;PSMD2;RPL15;RPS6;PSMD8;PIPOX;GOT1;SAT1;RPS4Y1;DDO;NMRAL1;SECISBP2;PSMB3;PSMB7;CSAD;AADAT;PSMC4;SLC25A12;PSMD3;SERINC5;OAZ2;MTRR;SIRT5;EEFSEC;SDSL;RPL27;CHDH;RIMKLA;ASL;RPS12;UBA52;RPS15A;RPL23;PSMC1;PSMC5;BCKDK;RPS27A;RPS9;AHCY;RPL35A;RPS21;RPL41;BCKDHB;SERINC3;PSMD13;PSMB4;RPS25;SMOX;AASS;PAOX;RPLP0;CDO1;AIMP2;NAT8L;TXN2;RPL4;SUOX;MCCC2;MTR;QDPR;AMD1;RPL6;CARNMT1;PSMD14;AIMP1;ASRGL1;RPS5;GAMT;RPL7;ALDH9A1;PSTK;MCCC1;OGDH;PSMD1;DHTKD1;SLC25A44;ODC1;DCT;SLC25A10;RPL19;CBS;SLC45A2;ARG2;RPL10;RPS13;CARNS1;DUOXA1;CRYM;FAU;RPL29;DUOX1;PHGDH;RPS11;RPS4X;SLC25A15;BCAT1;RPS27;RPL39;DMGDH;SLC7A5;RPL37A;RPL8;DIO2;SEPHS2;HNMT;RPL36AL;RPL18;RPL31;FAH;GOT2;NNMT;APIP;PCBD1;RPS16;TXNRD1;PSMD12;RPSA;PSMA7;RPL14;RPS24;SLC25A21;PSMA5;PHYKPL;SMS;ADI1;PSMD6;ADO;ETHE1;DLD;SLC22A4;RIMKLB;RPL10A;RPS28;GLUL;SLC6A11;PSMC6;MRI1;SDS;CKMT1A;PAPSS2;ASPA;HYKK;RPL39L;FOLH1;PYCR1;RPS26;GLUD2;RPL23A;RPL7A;RPL36;CKMT2;RPS15;RPL38;RPL3;RPL13;IL4I1;HAAO;RPLP1;RPL35;GPT;RPL28;BHMT2;RPS7;RPL32;TP53;ALDH18A1;CPS1;PAH;SLC44A1;SRM;RPL27A;SLC44A2;ALDH7A1;RPL30;SRR;GLDC;RPL26L1;RPS2;RPL24;RPS18;SLC25A13;PSMD11;RPS23;RPL21;PPM1K;ENOPH1;AMDHD1;ACADSB;AZIN1;RPL12;PSMA3;PSMB1;RPL11;GPT2;RIDA;KYAT3;KYAT1;TST;RPS8;RPL34;RPLP2;RPL22;RPL9;GLS;RPL37;SERINC1;RPL13A;MPST;AFMID;BCAT2;DBT;PSMC2;PYCR3;SQOR;RPL18A;DIO1;AANAT;KMO;AGMAT;PNMT;PRODH;SERINC2,114,PSMC3;HSD17B10;CKB;GSTZ1;ECHS1;PSMD7;PSMB2;PSMA4;RPS3;RPS3A;RPS14;OAT;GSR;GLUD1;GCDH;AZIN2;PSMD2;RPL15;RPS6;PSMD8;PIPOX;GOT1;SAT1;RPS4Y1;DDO;NMRAL1;SECISBP2;PSMB3;PSMB7;CSAD;AADAT;PSMC4;SLC25A12;SERINC5;SIRT5;EEFSEC;SDSL;RPL27;RIMKLA;ASL;UBA52;RPS15A;RPL23;PSMC1;PSMC5;BCKDK;RPS27A;RPS9;SERINC3;PSMD13;PSMB4;AASS;RPLP0;CDO1;AIMP2;RPL4;SUOX;MCCC2;MTR;RPL6;PSMD14;AIMP1;ASRGL1;RPS5;GAMT;ALDH9A1;MCCC1;SLC25A44;ODC1;SLC25A10;RPL19;CBS;RPL10;RPS13;CARNS1;FAU;RPL29;DUOX1;RPS11;RPS4X;SLC25A15;BCAT1;DMGDH;RPL8;RPL18;FAH;GOT2;APIP;RPS16;PSMD12;RPSA;RPL14;PSMA5;PHYKPL;ADI1;RIMKLB;RPL10A;GLUL;PSMC6;SDS;HYKK;FOLH1;GLUD2;RPL7A;RPL36;RPS15;RPL3;RPL13;HAAO;RPL35;ALDH18A1;SLC25A13;PSMD11;PYCR3,17,16
3,Cholesterol biosynthesis,R2_single_celltype_AD_PD_FDR,4,Astro;Micro;OPC;Oligo,3,1,1,OPC,-2.582347452656486,-2.065467224822971,0.0,0.0112585982886833,0.0112585982886833,-1.4316372978509624,-1.81791841491383,1.2109673259209233,2.065467224822971,16,ACAT2;DHCR24;EBP;FDFT1;FDPS;HMGCS1;MSMO1;MVD;MVK;NSDHL;PLPP6;PMVK;SC5D;SREBF1;SREBF2;TM7SF2,24,ACAT2;ARV1;DHCR24;DHCR7;EBP;FDFT1;FDPS;HMGCR;HMGCS1;HSD17B7;IDI1;LBR;LSS;MSMO1;MVD;MVK;NSDHL;PLPP6;PMVK;SC5D;SQLE;SREBF1;SREBF2;TM7SF2,24,IDI1;MVK;EBP;DHCR7;TM7SF2;MVD;SREBF2;NSDHL;SC5D;ACAT2;DHCR24;HMGCS1;HMGCR;FDPS;HSD17B7;FDFT1;PMVK;LBR;ARV1;PLPP6;MSMO1;LSS;SQLE;SREBF1,16,MVK;EBP;TM7SF2;MVD;SREBF2;NSDHL;SC5D;ACAT2;DHCR24;HMGCS1;FDPS;FDFT1;PMVK;PLPP6;MSMO1;SREBF1,423,2
19,SARS-CoV-1 modulates host translation machinery,R2_single_celltype_AD_PD_FDR,4,Astro;Micro;OPC;Oligo,2,2,1,Astro,-1.86613692486794,-1.6212037798207064,0.0356203071052835,0.0475384242061508,0.0475384242061508,-1.5388463067351328,0.3684688108136884,1.416379734211516,1.934880377591112,25,EEF1A1;FAU;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS18;RPS23;RPS24;RPS25;RPS27;RPS27A;RPS28;RPS3;RPS3A;RPS4X;RPS4Y1;RPS5;RPS6;RPS8;RPS9;RPSA,33,EEF1A1;FAU;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS27L;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS4Y1;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA,33,RPS3;RPS3A;RPS14;RPS19;RPS27L;RPS6;RPS4Y1;RPS12;RPS15A;RPS27A;RPS9;RPS21;RPS25;EEF1A1;RPS5;RPS20;RPS13;FAU;RPS11;RPS4X;RPS27;RPS29;RPS16;RPSA;RPS24;RPS28;RPS26;RPS15;RPS7;RPS2;RPS18;RPS23;RPS8,25,RPS3;RPS3A;RPS14;RPS6;RPS4Y1;RPS12;RPS15A;RPS27A;RPS9;RPS25;EEF1A1;RPS5;RPS13;FAU;RPS11;RPS4X;RPS27;RPS16;RPSA;RPS24;RPS28;RPS15;RPS18;RPS23;RPS8,228,9
25,Attenuation phase,R2_single_celltype_AD_PD_FDR,4,Astro;Micro;OPC;Oligo,2,1,1,Oligo,2.2801984256825505,1.9325658800209915,0.004310850107204,0.0319814001126217,0.0319814001126217,2.2551944206387438,-0.0826918264006825,1.111376502410614,1.9325658800209915,15,COL4A6;DEDD2;DNAJB1;DNAJB6;EP300;FKBP4;HSP90AA1;HSP90AB1;HSPA1L;HSPA8;HSPB1;HSPH1;MRPL18;PTGES3;UBB,23,COL4A6;CREBBP;DEDD2;DNAJB1;DNAJB6;EP300;FKBP4;HSBP1;HSF1;HSP90AA1;HSP90AB1;HSPA1A;HSPA1B;HSPA1L;HSPA2;HSPA8;HSPB1;HSPH1;MRPL18;PTGES3;SERPINH1;TNFRSF21;UBB,23,HSP90AA1;HSPA1A;SERPINH1;DEDD2;HSF1;TNFRSF21;HSPH1;PTGES3;DNAJB1;HSPB1;FKBP4;DNAJB6;MRPL18;HSPA1L;EP300;HSPA2;CREBBP;COL4A6;HSPA1B;UBB;HSBP1;HSPA8;HSP90AB1,15,HSP90AA1;DEDD2;HSPH1;PTGES3;DNAJB1;HSPB1;FKBP4;DNAJB6;MRPL18;HSPA1L;EP300;COL4A6;UBB;HSPA8;HSP90AB1,192,1
28,Major pathway of rRNA processing in the nucleolus and cytosol,R2_single_celltype_AD_PD_FDR,4,Astro;Micro;OPC;Oligo,1,1,1,Astro,-1.8906476429657235,-1.891443623997533,0.0303713797371269,0.0054043930409792,0.0303713797371269,-1.6775648233872875,0.1388019145403159,0.9101240183537364,1.8906476429657235,81,BOP1;BYSL;CSNK1D;CSNK1E;DHX37;EXOSC5;EXOSC6;EXOSC8;FAU;FCF1;GNL3;IMP4;LAS1L;MPHOSPH10;NOC4L;NOL9;PES1;RBM28;RPL10;RPL10A;RPL13;RPL14;RPL15;RPL18;RPL19;RPL21;RPL23A;RPL27;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36AL;RPL37;RPL37A;RPL38;RPL4;RPL41;RPL5;RPL6;RPL7A;RPL8;RPL9;RPLP1;RPLP2;RPP25;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS18;RPS23;RPS24;RPS25;RPS27A;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS4Y1;RPS6;RPS8;RPS9;RPSA;RRP9;UBA52;UTP11;UTP14C;UTP6;WDR12;XRN2,165,BMS1;BOP1;BUD23;BYSL;C1D;CSNK1D;CSNK1E;DCAF13;DDX21;DDX49;DDX52;DHX37;DIS3;EBNA1BP2;ERI1;EXOSC1;EXOSC10;EXOSC2;EXOSC4;EXOSC5;EXOSC6;EXOSC8;EXOSC9;FAU;FBL;FCF1;FTSJ3;GNL3;HEATR1;IMP3;IMP4;ISG20L2;KRR1;LAS1L;LTV1;MPHOSPH10;MPHOSPH6;MTREX;NCL;NOB1;NOC4L;NOL11;NOL6;NOL9;NOP14;NOP56;NOP58;PDCD11;PELP1;PES1;PNO1;RBM28;RCL1;RIOK1;RIOK2;RIOK3;RPL10;RPL10A;RPL11;RPL12;RPL13;RPL13A;RPL14;RPL15;RPL18;RPL18A;RPL19;RPL21;RPL22;RPL22L1;RPL23;RPL23A;RPL24;RPL26L1;RPL27;RPL27A;RPL28;RPL29;RPL3;RPL30;RPL31;RPL32;RPL34;RPL35;RPL35A;RPL36;RPL36AL;RPL37;RPL37A;RPL38;RPL39;RPL39L;RPL4;RPL41;RPL5;RPL6;RPL7;RPL7A;RPL8;RPL9;RPLP0;RPLP1;RPLP2;RPP14;RPP25;RPP30;RPP38;RPP40;RPS11;RPS12;RPS13;RPS14;RPS15;RPS15A;RPS16;RPS18;RPS19;RPS2;RPS20;RPS21;RPS23;RPS24;RPS25;RPS26;RPS27;RPS27A;RPS27L;RPS28;RPS29;RPS3;RPS3A;RPS4X;RPS4Y1;RPS5;RPS6;RPS7;RPS8;RPS9;RPSA;RRP1;RRP36;RRP7A;RRP9;SNU13;TBL3;TEX10;TSR1;UBA52;UTP11;UTP14A;UTP14C;UTP15;UTP18;UTP20;UTP25;UTP3;UTP4;UTP6;WDR12;WDR18;WDR36;WDR43;WDR46;WDR75;XRN2,165,FBL;RPL5;RPS3;RPS3A;RPS14;RPS19;UTP6;RPS27L;RPL15;NOC4L;RPS6;RPS4Y1;LAS1L;EXOSC1;WDR36;UTP20;RPL27;RPS12;UBA52;RPS15A;RPL23;RPS27A;RPS9;RPL35A;RPS21;RPL41;RPS25;RRP9;IMP4;RPLP0;EXOSC8;SNU13;RPL4;BMS1;RPL6;WDR46;PELP1;RPS5;RPL7;RPS20;DDX49;EXOSC10;TBL3;CSNK1D;RRP36;NOL9;TEX10;RIOK2;DIS3;PDCD11;RPP14;KRR1;WDR75;RPL19;RPL10;RPS13;FAU;RPL29;RPS11;RPS4X;RPS27;RPL39;RPL37A;CSNK1E;RPL8;UTP4;RPL36AL;NOB1;EXOSC6;RPL18;RPL31;RPS29;ISG20L2;RPS16;RPSA;RPL14;FTSJ3;PES1;RPS24;MPHOSPH6;RCL1;RPL22L1;NOL11;RRP1;UTP14A;NOP56;LTV1;RRP7A;EXOSC9;RPP30;RPL10A;RPS28;EBNA1BP2;DDX21;HEATR1;RIOK1;PNO1;DHX37;RIOK3;RPL39L;RPS26;RPL23A;RPL7A;RPL36;RPS15;RPL38;RPL3;RPL13;BYSL;RPLP1;EXOSC2;RPL35;GNL3;BOP1;RPL28;EXOSC5;RPS7;RPL32;UTP15;WDR12;EXOSC4;RPL27A;UTP14C;RPL30;ERI1;NOP58;RPP40;RPL26L1;RPS2;RPL24;RPS18;DCAF13;RPP38;RPS23;RPL21;NOP14;XRN2;RPL12;C1D;UTP18;TSR1;MPHOSPH10;DDX52;IMP3;RPL11;WDR43;NOL6;RBM28;FCF1;UTP25;BUD23;MTREX;RPS8;WDR18;RPL34;NCL;RPLP2;RPL22;RPL9;RPL37;UTP11;RPL13A;UTP3;RPP25;RPL18A,81,RPL5;RPS3;RPS3A;RPS14;UTP6;RPL15;NOC4L;RPS6;RPS4Y1;LAS1L;RPL27;RPS12;UBA52;RPS15A;RPS27A;RPS9;RPL35A;RPL41;RPS25;RRP9;IMP4;EXOSC8;RPL4;RPL6;CSNK1D;NOL9;RPL19;RPL10;RPS13;FAU;RPL29;RPS11;RPS4X;RPL37A;CSNK1E;RPL8;RPL36AL;EXOSC6;RPL18;RPL31;RPS29;RPS16;RPSA;RPL14;PES1;RPS24;RPL10A;RPS28;DHX37;RPL23A;RPL7A;RPL36;RPS15;RPL38;RPL3;RPL13;BYSL;RPLP1;RPL35;GNL3;BOP1;RPL28;EXOSC5;RPL32;WDR12;UTP14C;RPL30;RPS18;RPS23;RPL21;XRN2;MPHOSPH10;RBM28;FCF1;RPS8;RPL34;RPLP2;RPL9;RPL37;UTP11;RPP25,218,4
30,Heme signaling,R3_recurrent_directional,4,Astro;Micro;OPC;Oligo,4,0,0,OPC,1.942614100965625,1.722842552495333,0.055981751167904,0.1773718690050892,0.1773718690050892,1.810292544169295,1.6989952204010874,1.662252009115056,1.722842552495333,29,ATF2;CHD9;CLOCK;CREB1;CREBBP;CRTC3;EP300;HDAC3;LY96;MAFK;NCOA1;NCOA2;NCOR1;NFE2L2;NPAS2;NR1D1;NRIP1;PGRMC2;PPARA;RAI1;RORA;RXRA;SIRT1;SLC46A1;SMARCD3;TBL1X;TBL1XR1;TGS1;XPO1,40,ATF2;BACH1;CARM1;CHD9;CLOCK;CREB1;CREBBP;CRTC1;CRTC2;CRTC3;EP300;HDAC3;HELZ2;HMOX1;LY96;MAFK;MED1;MEF2C;MEF2D;NCOA1;NCOA2;NCOA6;NCOR1;NFE2L2;NPAS2;NR1D1;NRIP1;PGRMC2;PPARA;PPARGC1A;RAI1;RORA;RXRA;SIRT1;SLC46A1;SMARCD3;TBL1X;TBL1XR1;TGS1;XPO1,40,NFE2L2;NR1D1;MEF2C;ATF2;PGRMC2;RXRA;CREB1;CLOCK;NCOA1;NPAS2;SLC46A1;SIRT1;EP300;NRIP1;SMARCD3;NCOA2;HDAC3;CRTC3;XPO1;TBL1XR1;TBL1X;CHD9;LY96;PPARA;MAFK;TGS1;BACH1;RORA;RAI1;CRTC2;CREBBP;NCOA6;NCOR1;MED1;HELZ2;CARM1;PPARGC1A;CRTC1;MEF2D;HMOX1,29,NFE2L2;NR1D1;ATF2;PGRMC2;RXRA;CREB1;CLOCK;NCOA1;NPAS2;SLC46A1;SIRT1;EP300;NRIP1;SMARCD3;NCOA2;HDAC3;CRTC3;XPO1;TBL1XR1;TBL1X;CHD9;LY96;PPARA;MAFK;TGS1;RORA;RAI1;CREBBP;NCOR1,626,6
32,Interferon alpha/beta signaling,R3_recurrent_directional,4,Astro;Micro;OPC;Oligo,4,0,0,OPC,-1.9569473779395032,-1.9501398274739108,0.0500588773212166,0.0194364856028513,0.0500588773212166,-1.5523758097474758,-1.9967978086679516,1.5523758097474758,1.9501398274739108,23,EGR1;EIF2AK2;HLA-B;HLA-C;HLA-E;IFI6;IFIT1;IFIT3;IRF3;IRF7;KPNB1;MX1;MX2;OAS1;OAS3;PTPN1;PTPN11;RSAD2;SAMHD1;STAT1;STAT2;UBA52;USP18,53,ADAR;BST2;EGR1;EIF2AK2;GBP2;HLA-A;HLA-B;HLA-C;HLA-E;HLA-F;IFI27;IFI35;IFI6;IFIT1;IFIT2;IFIT3;IFITM2;IFITM3;IFNAR1;IP6K2;IRF1;IRF2;IRF3;IRF5;IRF7;IRF8;ISG15;ISG20;JAK1;KPNB1;MX1;MX2;OAS1;OAS2;OAS3;OASL;PSMB8;PTPN1;PTPN11;PTPN6;RNASEL;RPS27A;RSAD2;SAMHD1;SOCS3;STAT1;STAT2;TYK2;UBA52;UBB;UBC;USP18;XAF1,53,KPNB1;PTPN11;HLA-E;IFNAR1;OAS1;HLA-C;IFI6;STAT1;IRF7;EIF2AK2;RSAD2;MX1;IFIT1;UBA52;RPS27A;HLA-B;STAT2;IRF3;PTPN1;IFIT3;HLA-F;ISG15;IFIT2;XAF1;USP18;UBC;ISG20;IFI27;HLA-A;IRF1;IFI35;RNASEL;ADAR;EGR1;SOCS3;GBP2;MX2;OAS3;IFITM3;UBB;BST2;SAMHD1;TYK2;PTPN6;OAS2;IRF2;IP6K2;JAK1;PSMB8;IFITM2;OASL;IRF5;IRF8,23,KPNB1;PTPN11;HLA-E;OAS1;HLA-C;IFI6;STAT1;IRF7;EIF2AK2;RSAD2;MX1;IFIT1;UBA52;HLA-B;STAT2;IRF3;PTPN1;IFIT3;USP18;EGR1;MX2;OAS3;SAMHD1,42,1
34,Cohesin Loading onto Chromatin,R3_recurrent_directional,4,Astro;Micro;OPC;Oligo,4,0,0,Astro,1.4441839211717955,1.48117144519972,0.2389332249187152,0.4340436939246029,0.4340436939246029,1.4147846161277893,1.5337396940971422,1.4147846161277893,1.4528025316764055,9,NIPBL;PDS5A;PDS5B;RAD21;SMC1A;SMC3;STAG1;STAG2;WAPL,10,MAU2;NIPBL;PDS5A;PDS5B;RAD21;SMC1A;SMC3;STAG1;STAG2;WAPL,10,PDS5B;PDS5A;NIPBL;RAD21;STAG1;STAG2;SMC3;SMC1A;MAU2;WAPL,9,PDS5B;PDS5A;NIPBL;RAD21;STAG1;STAG2;SMC3;SMC1A;WAPL,1810,2
38,Gluconeogenesis,R3_recurrent_directional,4,Astro;Micro;OPC;Oligo,4,0,0,OPC,-1.644939474989911,-1.7578686409159152,0.1353709667450112,0.0886183463099818,0.1353709667450112,-1.416262093007456,-1.733933387301879,1.343540514121215,1.644939474989911,7,ENO2;G6PC3;GAPDH;GPI;PGAM1;SLC37A4;TPI1,14,ENO1;ENO2;ENO4;FBP1;G6PC3;GAPDH;GAPDHS;GPI;PC;PGAM1;PGK1;SLC37A1;SLC37A4;TPI1,14,GAPDH;PGAM1;ENO1;PC;GAPDHS;G6PC3;SLC37A1;SLC37A4;ENO4;TPI1;ENO2;GPI;FBP1;PGK1,7,GAPDH;PGAM1;G6PC3;SLC37A4;TPI1;ENO2;GPI,9,2
