candidate_rank,gene_symbol,priority_group,best_evidence_class,best_evidence_rank,n_cell_types_present,cell_types,celltype_evidence_signature,n_class_A,n_class_B,n_class_C,n_class_D,n_class_E,n_class_F,n_best_class_celltypes,n_brain_AD_PD_concordant_celltypes,brain_concordant_all_present_celltypes,median_AD_brain_log2FC,median_PD_brain_log2FC,median_conservative_brain_abs_effect,max_conservative_brain_abs_effect,retina_expression,retinal_donors_detected,AD_retina_log2FC,AD_retina_pvalue,AD_retina_FDR,AD_retina_FDR_support_any_celltype,n_AD_retina_same_direction_celltypes,PD_AH_log2RFU_diff,PD_AH_pvalue,PD_AH_FDR,PD_aqueous_FDR_support_any_celltype,n_PD_aqueous_same_direction_celltypes,n_multimodal_directional_celltypes,n_multimodal_nominal_celltypes,n_multimodal_FDR_celltypes
1,SCAMP5,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,2,4,Astro;Micro;OPC;Oligo,Astro:B | Micro:B | OPC:B | Oligo:B,0,4,0,0,0,0,4,4,True,-0.19140498237429698,-0.24190658883933158,0.1547005222433886,0.7109830474359891,True,7,-1.1380471626729047,0.0065975497880142,0.6725461467577817,False,4,-2.624634295520808,2.183910872691621e-09,1.1242369651731542e-06,True,4,4,4,0
2,XYLB,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,2,4,Astro;Micro;OPC;Oligo,Astro:B | Micro:B | OPC:B | Oligo:B,0,4,0,0,0,0,4,4,True,-0.3473632607877223,-0.10999704560158599,0.104519244114816,0.3309720151464671,True,7,-3.255324031082637,0.0034703669387063,0.6487411739414223,False,4,-1.1478623657005078,0.0010205948104734,0.0095385450758541,True,4,4,4,0
3,RABEPK,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,2,4,Astro;Micro;OPC;Oligo,Astro:B | Micro:B | OPC:F | Oligo:B,0,3,0,0,0,1,3,3,False,-0.374122963719752,-0.13164737144726515,0.07267808766430131,0.1818657352653987,True,7,-1.2325598686236994,0.0456206999844085,0.8768494707880053,False,4,-0.9525680568288524,0.0310113246994132,0.0761369494669373,False,3,3,3,0
4,ITGAM,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,2,4,Astro;Micro;OPC;Oligo,Astro:F | Micro:B | OPC:E | Oligo:B,0,2,0,0,1,1,2,3,False,-0.29685767922762585,-0.1263611495842027,0.2620786367390747,0.3226509484684303,True,6,-2.4715420997741937,0.0133512417727398,0.7540230101889117,False,3,-0.8368807742028277,0.0100342387074937,0.0381045913853603,True,2,2,2,0
5,CD38,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,2,3,Astro;Micro;Oligo,Astro:B | Micro:B | Oligo:E,0,2,0,0,1,0,2,3,True,-0.0177666996061784,-0.0125659958031008,0.0769108680273468,0.494066069653569,True,7,-1.5491156455786417,0.0284808950781023,0.8768494707880053,False,2,-0.8033075047016641,0.0085451021939308,0.0347060341409969,True,2,2,2,0
6,CTCF,P1_recurrent_dual_ocular_nominal,B_dual_ocular_nominal,2,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:B | OPC:B | Oligo:F,0,2,0,0,1,1,2,3,False,-0.029625312502272197,0.03238382590327855,0.0403968690359391,0.0724029669835014,True,7,-2.42724489239486,0.0023045280232402,0.5232326125493176,False,3,-1.560824888904509,0.0002434238724258,0.0035430313503216,True,2,2,2,0
7,UBTD2,P2_single_dual_ocular_nominal,B_dual_ocular_nominal,2,4,Astro;Micro;OPC;Oligo,Astro:E | Micro:F | OPC:F | Oligo:B,0,1,0,0,1,2,1,2,False,0.0441766763167395,-0.06625365840553646,0.0441766763167395,0.1107166880958446,True,7,-1.7068046159486805,0.0076510155011846,0.6851469512664974,False,1,-2.662226890327123,0.0027772816010277,0.0180017193524473,True,3,1,1,0
8,NAPEPLD,P2_single_dual_ocular_nominal,B_dual_ocular_nominal,2,4,Astro;Micro;OPC;Oligo,Astro:F | Micro:F | OPC:F | Oligo:B,0,1,0,0,0,3,1,1,False,-0.12007353121828171,0.04171450943794295,0.0672159118941446,0.09615426472192,True,7,-1.0999156635924336,0.0364053712871161,0.8768494707880053,False,3,-1.756484612254622,1.3487320872777518e-05,0.000498417812253,True,2,1,1,0
9,GAPDH,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.5046295367598267,-0.5928460554389159,0.46086623027688645,0.6289264952194898,True,7,-0.2788745318361805,0.4418375865756753,0.8768494707880053,False,4,-1.5366870859629709,0.1323822923997485,0.2132430302991703,False,4,4,0,0
10,STX1B,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.45545600368847505,-0.7317943632385899,0.45545600368847505,0.6547903363907951,True,7,-0.206657159357924,0.6924124645695299,0.9012323673088282,False,4,-0.4318543641454805,0.0894376861450269,0.1594579799033047,False,4,4,0,0
11,NDUFB10,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.49463147897355214,-0.4404866655793668,0.374167752733879,0.480931696722947,True,7,-0.2667869087948418,0.4267503241610707,0.8768494707880053,False,4,-0.839656354634316,0.039989729539709,0.0906338314657444,False,4,4,0,0
12,NT5C,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.37730700090685504,-0.359075024893482,0.31002016181835124,0.3608262798833404,True,7,-0.4715263988883649,0.3840258276055676,0.8768494707880053,False,4,-1.839083657150974,0.1149818656817777,0.1912220331954989,False,4,4,0,0
13,NPEPL1,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.9580258412465174,-0.3028148631749022,0.3028148631749022,0.5294774694646442,True,7,-1.0033039199275535,0.0540948960194541,0.8768494707880053,False,4,-1.7974813520139057,9.049721870185415e-06,0.000367871194023,True,4,4,0,0
14,BPHL,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.35740840025615894,-0.286127615145994,0.2640046148851978,0.3281437086337661,True,7,-0.6621484689684358,0.0833064246951815,0.8768494707880053,False,4,-1.860442653065456,0.0612235873437357,0.1214018939279443,False,4,4,0,0
15,PURB,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,0.4100045852726206,0.23268748190447375,0.22934768977349068,0.2797302473482636,True,7,0.4091716187251251,0.3577215548500957,0.8768494707880053,False,4,0.0903977707748078,0.8574287364404615,0.8886590673980452,False,4,4,0,0
16,OXLD1,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.46372588369573997,-0.21985032311238162,0.21985032311238162,0.3315738490671108,True,7,-0.6318688341759753,0.3478193977333412,0.8768494707880053,False,4,-0.4045786436890073,0.1501546097430161,0.2353582332045231,False,4,4,0,0
17,PSMC3,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.29749384686849867,-0.21948460997109864,0.21948460997109864,0.3192065255643553,True,7,-0.1759724237190134,0.6839007015909842,0.8998895469979937,False,4,-1.4230348588267532,0.3063121946830036,0.4020805716101587,False,4,4,0,0
18,LINGO1,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,0.21730845206874994,0.46209077248901975,0.21730845206874994,0.2836772616627557,True,7,0.5366437601443614,0.3244312070342073,0.8768494707880053,False,4,0.4861101204806051,0.0410930039803998,0.0923254187336974,False,4,4,0,0
19,SRP14,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.20689057292470997,-0.4447430899650604,0.20689057292470997,0.3723428073037951,True,7,-0.5888149841395034,0.2006916130160705,0.8768494707880053,False,4,-1.2961963782947772,0.0640837909204591,0.1253977836077461,False,4,4,0,0
20,PTGES2,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.2530869404269755,-0.2709183600587374,0.20271895896577258,0.3136917257011013,True,7,-0.4913777325567174,0.3408145372494602,0.8768494707880053,False,4,-0.0717692786867026,0.3305649312781842,0.4067658214744228,False,4,4,0,0
21,C3ORF18,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.48513555266157293,-0.3459112511489254,0.1937118569877715,0.5829647291290618,True,7,-0.2035297460811413,0.6512839388939904,0.8923721507909563,False,4,-0.5375800388829548,0.0642271256381519,0.125563920304611,False,4,4,0,0
22,IKBKG,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.5653980783767751,-0.1897991437769894,0.1897991437769894,0.4321008373788192,True,7,-1.0436336410246805,0.0658415059297806,0.8768494707880053,False,4,-0.0374772350452922,0.330564931278184,0.4067658214744228,False,4,4,0,0
23,LANCL2,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.32332964152163934,-0.21410337178940497,0.18340523046115942,0.2836487405634429,True,7,-0.5829471899129821,0.2672399996183547,0.8768494707880053,False,4,-3.112988332588044,0.1871923298079607,0.2742820671825706,False,4,4,0,0
24,PPIH,P3_recurrent_dual_ocular_directional,C_dual_ocular_directional,3,4,Astro;Micro;OPC;Oligo,Astro:C | Micro:C | OPC:C | Oligo:C,0,0,4,0,0,0,4,4,True,-0.38218980733694385,-0.18207620462643248,0.18207620462643248,0.2452471111465612,True,7,-0.5277694660638659,0.2999626344878457,0.8768494707880053,False,4,-0.2844025969269648,0.5093121841673984,0.5780805026120193,False,4,4,0,0
