accession,gene,AD_mean,NC_mean,FC_AD_over_NC,p_value,direction,log2FC_signed
Q9Y2V2,CARHSP1,262.44,153.78,1.71,8.643e-05,up,0.7739963251111731
P42226,STAT6,126.47,99.89,1.27,9.612e-05,up,0.34482849699744117
Q15170,TCEAL1,121.35,76.26,1.59,0.0003,up,0.6690267655096307
Q5TZF3,ANKRD45,22.38,14.49,1.54,0.00032,up,0.6229303509201767
Q14012,CAMK1,143.38,108.58,1.32,0.00032,up,0.4005379295837288
P08138,NGFR,40.44,24.72,1.64,0.00065,up,0.7136958148433589
P18085,ARF4,883.54,645.81,1.37,0.00065,up,0.45417589318580215
Q9BQI0,AIF1L,231.24,162.04,1.43,0.00066,up,0.5160151470036647
Q96CW6,SLC7A6OS,55.22,35.09,1.57,0.0007,up,0.6507645591169023
Q04828,AKR1C1,400.78,269.55,1.49,0.00074,up,0.5753123306874368
P32019,INPP5B,15.26,9.54,1.6,0.0008,up,0.6780719051126377
H3BUF6,ATXN2L,30.04,21.65,1.39,0.0008,up,0.47508488294878265
G3V1A6,GSDMD,31.58,15.62,2.02,0.0009,up,1.01435529297707
Q16222,UAP1,14.51,9.33,1.55,0.00099,up,0.632268215499513
Q13303,KCNAB2,122.11,83.92,1.46,0.001,up,0.5459683691052925
Q13018,PLA2R1,154.38,127.41,1.21,0.00112,up,0.27500704749986976
P30622,CLIP1,1073.32,883.48,1.21,0.00124,up,0.27500704749986976
Q01581,HMGCS1,123.62,90.34,1.37,0.00126,up,0.45417589318580215
O14974,PPP1R12A,1259.97,1048.38,1.2,0.00128,up,0.2630344058337938
E9PSH4,MAF1,57.64,36.07,1.6,0.00156,up,0.6780719051126377
O15514,POLR2D,48.86,37.89,1.29,0.00158,up,0.36737106564852945
Q9H1P3,OSBPL2,475.6,393.03,1.21,0.00161,up,0.27500704749986976
Q9NRV9,HEBP1,930.77,667.7,1.39,0.00171,up,0.47508488294878265
Q12841,FSTL1,114.74,90.64,1.27,0.00171,up,0.34482849699744117
Q9P287,BCCIP,260.96,149.99,1.74,0.00179,up,0.7990873060740036
A0A087WY62,NBPF26,99.18,59.84,1.66,0.0019,up,0.7311832415721999
Q14657,LAGE3,32.15,23.23,1.38,0.00202,up,0.46466826700344427
Q92995,USP13,14.83,10.03,1.48,0.00213,up,0.5655971758542251
A0A087X091,WDR13,78.88,63.41,1.24,0.00234,up,0.3103401206121505
O15355,PPM1G,747.14,588.94,1.27,0.00251,up,0.34482849699744117
Q9UKW4,VAV3,164.63,137.13,1.2,0.00272,up,0.2630344058337938
Q14376,GALE,439.78,293.33,1.5,0.00279,up,0.5849625007211562
Q9H6X2,ANTXR1,52.5,40.64,1.29,0.00298,up,0.36737106564852945
Q9UK22,FBXO2,982.04,778.07,1.26,0.003,up,0.3334237337251918
P62330,ARF6,431.76,298.76,1.45,0.00312,up,0.5360529002402097
